firstname,middlename,lastname,year,financedetail,college,boardunitid1,boardunitid2,technology,otherfin,collegeschooltype,pehedge
"winthrop","paul","rockefeller",1989," non-financial","texas christian university",,,0,0,1,0
"robert","freeman","weis",1989," non-financial","yale university",,,0,0,3,0
"william","","lyon",1989,"non-financial","university of southern california",,,0,0,3,0
"jack","kent","cooke",1989," non-financial","high school",190415,190415,0,0,1,0
"lloyd","edward","cotsen",1989,"non-financial","princeton university",,,0,0,3,0
"edward","lewis","gaylord",1989," non-financial","stanford university",,,0,0,3,0
"sydney","mark","taper",1989," non-financial","",,,0,0,4,0
"samuel","curtis","johnson",1989," non-financial","cornell university",,,0,0,3,0
"leonard","","litwin",1989,"non-financial","",,,0,0,4,0
"leonard","samuel","skaggs",1989,"non-financial","",,,0,0,4,0
"michael","robert","milken",1989,"private equity","university of california berkeley",,,0,0,2,1
"jane","bancroft","cook",1989," non-financial","high school",,,0,0,1,0
"jay","arthur","pritzker",1989," non-financial","university of chicago",147767,,0,0,3,0
"george","randolph","hearst",1989," non-financial","",,,0,0,4,0
"eli","","broad",1989,"other financial","michigan state university",110404,,0,1,2,0
"katharine","","graham",1989," non-financial","university of chicago",,,0,0,3,0
"john","thompson","dorrance",1989," non-financial","",,,0,0,4,0
"marvin","harold","davis",1989," non-financial","new york university",,,0,0,3,0
"stephen","davison","bechtel",1989," non-financial","purdue university",110404,,0,0,2,0
"jack","","rudin",1989," non-financial","city college of new york",,,0,0,3,0
"alice","sheets","marriott",1989,"non-financial","university of utah",,,0,0,2,0
"luigino","francesco","paulucci",1989,"non-financial","hibbing junior college",,,0,0,1,0
"grover","","connell",1989," non-financial","columbia university",,,0,0,3,0
"george","","soros",1989,"hedge funds","london school of economics",,,0,0,1,1
"cordelia","scaife","may",1989,"venture capital","",,,0,0,4,1
"alexander","gus","spanos",1989," non-financial","university of the pacific",,,0,0,1,0
"joan","beverly","kroc",1989,"non-financial","",,,0,0,4,0
"bob","john","magness",1989,"non-financial","",,,0,0,4,0
"ben","hill","griffin",1989," non-financial","university of florida",,,0,0,1,0
"maurice","raymond","greenberg",1989,"insurance","university of miami",,,0,1,1,0
"roger","","milliken",1989," non-financial","yale university",,,0,0,3,0
"jane","b","engelhard",1989," non-financial","high school",,,0,0,1,0
"millicent","v","baoudjakdji",1989,"non-financial","",,,0,0,4,0
"judd","david","malkin",1989,"non-financial","university of illinois",,,0,0,2,0
"ralph","","lauren",1989," non-financial","",,,0,0,4,0
"sigfried","","weis",1989," non-financial","yale university",,,0,0,3,0
"jack","e","brown",1989," non-financial","texas a&m university",,,0,0,2,0
"cleon","t(bud)","knapp",1989,"non-financial","university of california los angeles",,,0,0,2,0
"leonard","maximilian","marx",1989," non-financial","yale university",,,0,0,3,0
"claire","eugenia","gettyperry",1989,"non-financial","",,,0,0,4,0
"george","francis","landegger",1989," non-financial","",,,0,0,4,0
"ml","","dupont greenwalt",1989,"non-financial","",,,0,0,4,0
"hope","hill","vanbeuren",1989," non-financial","",,,0,0,4,0
"robert","staples","howard",1989," non-financial","university of minnesota",191515,,0,0,2,0
"bruce","cobb","gottwald",1989,"non-financial","virginia military institute",,,0,0,1,0
"edwin","lochridge","cox",1989," non-financial","southern methodist university",,,0,0,1,0
"randolph","apperson","hearst",1989," non-financial","harvard university",,,0,0,3,0
"jack","n","mandel",1989," non-financial","",,,0,0,4,0
"alice","francis","dupont mills",1989,"non-financial","",,,0,0,4,0
"ernest","","gallo",1989," non-financial","",,,0,0,4,0
"bennett","","dorrance",1989," non-financial","university of arizona",,,0,0,2,0
"eleanor","francis","dupont rust",1989,"non-financial","",,,0,0,4,0
"bella","","wexner",1989,"non-financial","high school",,,0,0,1,0
"frank","james","pasquerilla",1989,"non-financial","",,,0,0,4,0
"robert","","rich",1989," non-financial","state university of new york buffalo",,,0,0,3,0
"jane","cox","macelree",1989," non-financial","",,,0,0,4,0
"preston","robert","tisch",1989," non-financial","university of michigan",193900,,0,0,2,0
"oveta","culp","hobby",1989," non-financial","",,,0,0,4,0
"morton","leon","mandel",1989," non-financial","",,,0,0,4,0
"laszlo","nandor","tauber",1989,"non-financial","university budapest",,,0,0,1,0
"julio","","gallo",1989," non-financial","high school",,,0,0,1,0
"william","alvin","moncrief",1989," non-financial","university of texas austin",,,0,0,2,0
"lewis","","rudin",1989," non-financial","new york university",,,0,0,3,0
"mansfield","","freeman",1989,"non-financial","wesleyan university",,,0,0,1,0
"howard","","kaskel",1989," non-financial","",,,0,0,4,0
"richard","jerome","o’neill",1989,"non-financial","california polytechnic state university",,,0,0,1,0
"john","werner","kluge",1989," non-financial","columbia university",,,0,0,3,0
"henry","lea","hillman",1989,"private equity","princeton university",,,0,0,3,1
"paul","","mellon",1989,"commercial banking","yale university",,,0,1,3,0
"charlotte","colket","weber",1989,"non-financial","university of paris",,,0,0,1,0
"john","g","rangos",1989,"non-financial","houston school of business",,,0,0,1,0
"george","l","lindemann",1989,"other financial","university of pennsylvania",,,0,1,3,0
"carl","ray","pohlad",1989,"non-financial","",,,1,0,4,0
"john","franklyn","mars",1989," non-financial","yale university",,,0,0,3,0
"anne","catherine","gettyearhart",1989,"non-financial","",,,0,0,4,0
"sam","moore","walton",1989," non-financial","university of missouri",,,0,0,1,0
"william","norman","pennington",1989,"non-financial","",,,0,0,4,0
"jackson","thomas","stephens",1989,"investment banking","united states naval academy",,,0,1,1,0
"robert","harris","lurie",1989," non-financial","northwestern university",,,0,0,3,0
"miller","","nichols",1989,"non-financial","university of kansas",,,0,0,1,0
"margaret","hunt","hill",1989," non-financial","mary baldwin college",,,0,0,1,0
"edgar","miles","bronfman",1989,"non-financial","mcgill university",,,0,0,1,0
"laurence","a","tisch",1989," non-financial","new york university",193900,,0,0,3,0
"orville","wayne","rollins",1989," non-financial","high school",,,0,0,1,0
"jon","meade","huntsman",1989,"non-financial","stanford university",215062,,0,0,3,0
"mark","les","goodson",1989,"non-financial","university of california berkeley",,,0,0,2,0
"joseph","dahr","jamail",1989,"non-financial","university of texas austin",,,0,0,2,0
"william","russell","kelly",1989,"non-financial","university of pennsylvania",,,0,0,3,0
"edward","john","debartolo",1989," non-financial","university of notre dame",,,0,0,3,0
"alice","o’neill","avery",1989," non-financial","immaculate heart college",,,0,0,1,0
"nan","tucker","mcevoy",1989,"non-financial","",,,0,0,4,0
"forrest","edward","mars",1989," non-financial","yale university",,,0,0,3,0
"estee","","lauder",1989,"non-financial","high school",,,0,0,1,0
"william","","wrigley",1989," non-financial","duke university",147767,,0,0,3,0
"caroline","marie","getty",1989,"non-financial","",,,0,0,4,0
"jesse","mack","robinson",1989,"commerical banking","high school",139658,,0,1,1,0
"howard","brighton","keck",1989," non-financial","",,,0,0,4,0
"marshall","field","v",1989,"non-financial","",,,0,0,4,0
"thomas","stephen","monaghan",1989,"non-financial","",,,0,0,4,0
"malcolm","stevenson","forbes",1989," non-financial","princeton university",186131,,0,0,3,0
"stanley","irving","stahl",1989,"non-financial","new york university",,,0,0,3,0
"harold","clark","simmons",1989,"private equity","university of texas austin",,,0,0,2,1
"bruce","","kovner",2003,"hedge funds","harvard university",,,0,0,3,1
"h","wayne","huizenga",2003,"other financial","",,,0,1,4,0
"john","","arrillaga",2003," non-financial","stanford university",,,0,0,3,0
"alan","","gerry",2003,"non-financial","high school",,,0,0,1,0
"john","elroy","mccaw",2003,"non-financial","university of washington",,,1,0,2,0
"robert","edward","rich",2003," non-financial","state university of new york buffalo",,,0,0,3,0
"l","lowry","mays",2003,"non-financial","texas a&m university",228723,,0,0,2,0
"a","alfred","taubman",2003," non-financial","",,,0,0,4,0
"dorrance","hill","hamilton",2003,"non-financial","high school",,,0,0,1,0
"ray","lee","hunt",2003," non-financial","southern methodist university",,,0,0,1,0
"bernard","a","osher",2003,"commerical banking","bowdoin college",,,0,1,1,0
"stanley","","druckenmiller",2003,"hedge funds","bowdoin college",,,0,0,1,1
"david","a","duffield",2003," non-financial","cornell university",,,1,0,3,0
"jerry","","yang",2003," non-financial","stanford university",,,1,0,3,0
"bruce","r","mccaw",2003,"non-financial","",,,1,0,4,0
"jerry","w","jones",2003," non-financial","university of arkansas",,,0,0,1,0
"jack","crawford","taylor",2003,"non-financial","washington university in st. louis",,,0,0,3,0
"ronald","steven","lauder",2003," non-financial","university of pennsylvania",,,0,0,3,0
"bernard","francis","saul",2003,"venture capital","villanova university",,,0,0,1,1
"john","t","walton",2003,"non-financial","",,,0,0,4,0
"michael","f","price",2003,"hedge funds","university of oklahoma",162928,,0,0,1,1
"david","sr","rockefeller",2003," non-financial","harvard university",,,0,0,3,0
"edward","g","watkins",2003,"non-financial","",,,1,0,4,0
"john","willard","marriott",2003," non-financial","university of utah",,,0,0,2,0
"charles","r","schwab",2003,"investment banking","stanford university",243744,,0,1,3,0
"e","pierce","marshall",2003,"non-financial","pomona college",,,0,0,1,0
"h","ty","warner",2003,"non-financial","kalamazoo college",,,0,0,1,0
"warren","edward","buffett",2003,"asset management","university of nebraska",,,0,1,1,0
"patrick","joseph","mcgovern",2003," non-financial","massachusetts institute of technology",166683,,0,0,3,0
"george","phydias","mitchell",2003," non-financial","texas a&m university",,,0,0,2,0
"gerald","j","ford",2003,"investment banking","southern methodist university",,,0,1,1,0
"roger","","milliken",2003," non-financial","yale university",,,0,0,3,0
"charles","t","munger",2003,"asset management","california institute of technology",,,0,1,3,0
"james","c","france",2003,"non-financial","florida southern college",,,0,0,1,0
"peter","benjamin","lewis",2003,"non-financial","princeton university",186131,,0,0,3,0
"nancy","lerner","beck",2003,"non-financial","university of cincinnati",,,0,0,2,0
"william","s","levine",2003,"non-financial","new york university",,,0,0,3,0
"s","robson","walton",2003," non-financial","university of arkansas",,,0,0,1,0
"mitchell","","rales",2003," non-financial","miami university",,,0,0,1,0
"cordelia","scaife","may",2003,"venture capital","",,,0,0,4,1
"gordon","earle","moore",2003," non-financial","university of california berkeley",110404,,1,0,2,0
"donald","john","tyson",2003,"non-financial","",,,0,0,4,0
"arthur","l","williams",2003,"non-financial","mississippi state university",,,0,0,1,0
"walter","jr","scott",2003," non-financial","colorado state university",,,0,0,1,0
"carl","","icahn",2003,"private equity","princeton university",,,0,0,3,1
"william","","bowes",2003,"venture capital","stanford university",,,0,0,3,1
"richard","edward","rainwater",2003,"asset management","university of texas austin",,,0,1,2,0
"john","thomas","lupton",2003," non-financial","university of north carolina",,,0,0,2,0
"norman","w","waitt",2003,"non-financial","morningside college",,,0,0,1,0
"frederick","wallace","smith",2003," non-financial","yale university",,,0,0,3,0
"grover","","connell",2003," non-financial","columbia university",,,0,0,3,0
"roy","edward","disney",2003," non-financial","pomona college",,,0,0,1,0
"richard","mellon","scaife",2003,"commercial banking","university of pittsburgh",,,0,1,1,0
"david","hamilton","koch",2003," non-financial","massachusetts institute of technology",162928,166683,0,0,3,0
"jerome","spiegel","kohlberg",2003,"private equity","columbia university",190150,190150,0,0,3,1
"jeffrey","p","bezos",2003,"non-financial","princeton university",,,1,0,3,0
"patrick","","soon-shiong",2003," non-financial","university of witwatersrand",,,0,0,1,0
"henry","","samueli",2003," non-financial","university of california los angeles",,,1,0,2,0
"donald","l","bren",2003," non-financial","university of washington",110404,,0,0,2,0
"lester","and","crown",2003,"other financial","northwestern university",147767,,0,1,3,0
"marilyn","carlson","nelson",2003,"non-financial","smith college",,,0,0,1,0
"john","","herma",2003,"non-financial","rutgers university",,,0,0,2,0
"andel","jay","van",2003,"non-financial","calvin university",,,0,0,1,0
"forrest","edward","mars",2003," non-financial","yale university",,,0,0,3,0
"walter","herbert","shorenstein",2003," non-financial","university of pennsylvania",,,0,0,3,0
"dennis","","washington",2003," non-financial","high school",,,0,0,1,0
"joseph","dahr","jamail",2003,"non-financial","university of texas austin",,,0,0,2,0
"john","franklyn","mars",2003," non-financial","yale university",,,0,0,3,0
"henry","bartell","zachry",2003,"non-financial","texas a&m university",,,0,0,2,0
"barbara","cox","anthony",2003," non-financial","high school",,,0,0,1,0
"peter","m","nicholas",2003,"non-financial","duke university",198419,,0,0,3,0
"robert","","rowling",2003," non-financial","university of texas austin",,,0,0,2,0
"william","morse","davidson",2003,"non-financial","university of michigan",,,0,0,2,0
"william","bradley","turner",2003,"non-financial","georgia institute of technology",,,0,0,2,0
"george","","soros",2003,"hedge funds","london school of economics",,,0,0,1,1
"frederick","robinson","koch",2003,"non-financial","harvard university",,,0,0,3,0
"pincus","","green",2003,"hedge funds","high school",,,0,0,1,1
"joseph","","neubauer",2003,"non-financial","tufts university",168148,144050,0,0,3,0
"donald","george","fisher",2003,"non-financial","university of california berkeley",,,0,0,2,0
"cargill","jr","macmillan",2003,"non-financial","yale university",,,0,0,3,0
"ann","walton","kroenke",2003," non-financial","lincoln university",,,0,0,1,0
"leonard","","abramson",2003,"insurance","philadelphia college of pharmacy and science",,,0,1,1,0
"alfred","p","west",2003,"asset management","georgia institute of technology",,,0,1,2,0
"min","h","kao",2003," non-financial","national taiwan university",,,1,0,1,0
"ronda","e","stryker",2003," non-financial","university of northern colorado",,,0,0,1,0
"james","and","kim",2003,"non-financial","university of pennsylvania",215062,,1,0,3,0
"jon","lloyd","stryker",2003," non-financial","kalamazoo college",,,0,0,1,0
"harold","fitzgerald","lenfest",2003,"non-financial","washington and lee university",,,0,0,1,0
"leandro","p","rizzuto",2003," non-financial","",,,0,0,4,0
"herbert","and","kohler",2003," non-financial","yale university",,,0,0,3,0
"john","orin","edson",2003,"non-financial","",,,0,0,4,0
"stanley","","kroenke",2003," non-financial","university of missouri",,,0,0,1,0
"austin","","hearst",2003,"non-financial","california state polytechnic university pomona",,,0,0,1,0
"herbert","","siegel",2003,"non-financial","",,,0,0,4,0
"kenneth","g","langone",2003,"venture capital","bucknell university",193900,,0,0,1,1
"beuren","hope","van",2003,"non-financial","",,,0,0,4,0
"john","c","malone",2003," non-financial","yale university",,,0,0,3,0
"michael","e","heisley",2003,"non-financial","georgetown university",131496,,0,0,3,0
"glen","","taylor",2003," non-financial","minnesota state university",,,0,0,1,0
"vinod","","khosla",2003,"venture capital","indian institute of technology",,,0,0,1,1
"paul","tudor","jones",2003,"hedge funds","university of virginia",,,0,0,2,1
"clemmie","dixon","spangler",2003,"other financial","university of north carolina",,,0,1,2,0
"carl","ray","pohlad",2003,"commerical banking","",,,0,1,4,0
"william","jr","wrigley",2003," non-financial","duke university",147767,,0,0,3,0
"michael","d","eisner",2003,"non-financial","denison university",,,0,0,1,0
"thomas","","friedkin",2003,"non-financial","",,,0,0,4,0
"victor","","fung",2003,"non-financial","massachusetts institute of technology",,,0,0,3,0
"nancy","and","dedman",2003,"non-financial","",,,0,0,4,0
"john","albert","sobrato",2003," non-financial","santa clara university",,,0,0,1,0
"david","","filo",2003," non-financial","tulane university",,,1,0,1,0
"richard","m","devos",2003," non-financial","calvin college",121345,,0,0,1,0
"michael","","dell",2003," non-financial","",,,1,0,4,0
"nancy","walton","laurie",2003," non-financial","university of memphis",,,0,0,1,0
"robert","drayton","mclane",2003,"non-financial","baylor university",,,0,0,1,0
"henry","ross","perot",2003," non-financial","united states naval academy",,,0,0,1,0
"abigail","","johnson",2003,"asset management","hobart and william smith",166683,,0,1,1,0
"theodore","","forstmann",2003,"private equity","yale university",,,0,0,3,1
"richard","m","schulze",2003," non-financial","high school",,,0,0,1,0
"stanley","","hubbard",2003," non-financial","university of minnesota",,,0,0,2,0
"irwin","mark","jacobs",2003,"non-financial","cornell university",,,1,0,3,0
"samuel","","zell",2003,"non-financial","university of michigan",,,0,0,2,0
"gordon","peter","getty",2003," non-financial","san francisco conservatory of music",,,0,0,1,0
"charles","cassius","gates",2003," non-financial","high school",110404,,0,0,1,0
"helen","k","copley",2003," non-financial","high school",,,0,0,1,0
"david","and","gold",2003,"non-financial","",,,0,0,4,0
"archie","aldis","emmerson",2003," non-financial","",,,0,0,4,0
"george","randolph","hearst",2003," non-financial","",,,0,0,4,0
"richard","alexander","manoogian",2003,"non-financial","yale university",,,0,0,3,0
"perry","richardson","bass",2003," non-financial","yale university",,,0,0,3,0
"bill","","gates",2003," non-financial","",,,1,0,4,0
"william","j","pulte",2003,"non-financial","high school",,,0,0,1,0
"max","martin","fisher",2003," non-financial","ohio state university",,,0,0,2,0
"micky","","arison",2003," non-financial","",,,0,0,4,0
"steven","","rales",2003," non-financial","depauw university",,,0,0,1,0
"charles","","ergen",2003," non-financial","university of tennessee knoxville",,,0,0,1,0
"james","martin","moran",2003,"non-financial","high school",,,0,0,1,0
"mary","","anselmo",2003,"non-financial","",,,1,0,4,0
"gary","l","burrell",2003,"non-financial","wichita state university",,,1,0,1,0
"julian","h","robertson",2003,"hedge funds","university of north carolina",,,0,0,2,1
"bernard","","marcus",2003," non-financial","rutgers university",,,0,0,2,0
"john","g","sperling",2003,"private equity","reed college",,,0,0,1,1
"charles","","simonyi",2003," non-financial","university of california berkeley",,,1,0,2,0
"james","","jannard",2003," non-financial","",,,0,0,4,0
"john","p","morgridge",2003,"non-financial","university of wisconsin",243744,,1,0,2,0
"leonore","","annenberg",2003,"non-financial","stanford university",,,0,0,3,0
"stuart","robert","levine",2003,"non-financial","",,,0,0,4,0
"edward","perry","bass",2003,"venture capital","yale university",130794,,0,0,3,1
"eli","","broad",2003,"other financial","michigan state university",110404,,0,1,2,0
"leon","and","levine",2003,"non-financial","wingate college",,,0,0,1,0
"dirk","edward","ziff",2003,"hedge funds","columbia university",,,0,0,3,1
"jay","h","baker",2003,"non-financial","university of pennsylvania",,,0,0,3,0
"marvin","h","davis",2003," non-financial","new york university",,,0,0,3,0
"lee","marshall","bass",2003,"venture capital","yale university",221999,,0,0,3,1
"pauline","macmillan","keinath",2003," non-financial","high school",,,0,0,1,0
"phillip","","ruffin",2003," non-financial","",,,0,0,4,0
"paul","gardner","allen",2003," non-financial","",,,1,0,4,0
"kirk","","kerkorian",2003," non-financial","high school",,,0,0,1,0
"edward","s","lampert",2003,"hedge funds","yale university",,,0,0,3,1
"thomas","haskell","lee",2003,"private equity","harvard university",165015,,0,0,3,1
"caroline","marie","getty",2003,"non-financial","",,,0,0,4,0
"nelson","","peltz",2003,"private equity","",,,0,0,4,1
"bradley","wayne","hughes",2003," non-financial","university of southern california",,,0,0,3,0
"richard","edwin","marriott",2003,"non-financial","university of utah",,,0,0,2,0
"william","randolph","hearst",2003," non-financial","university of california berkeley",,,0,0,2,0
"arturo","","moreno",2003," non-financial","university of arizona",,,0,0,2,0
"herbert","m","sandler",2003,"commerical banking","city college of new york",,,0,1,3,0
"franklin","otis","booth",2003,"asset management","california institute of technology",,,0,1,3,0
"george","","joseph",2003,"non-financial","harvard university",,,0,0,3,0
"alec","","gores",2003,"private equity","western michigan university",,,0,0,1,1
"laurance","spelman","rockefeller",2003,"venture capital","princeton university",,,0,0,3,1
"elizabeth","turner","corn",2003,"non-financial","",,,0,0,4,0
"patrick","george","ryan",2003,"other financial","northwestern university",147767,,0,1,3,0
"mark","c","smith",2003,"non-financial","georgia institute of technology",,,1,0,2,0
"susan","thompson","buffett",2003,"asset management","northwestern university",,,0,1,3,0
"george","","lucas",2003," non-financial","university of southern california",,,0,0,3,0
"ralph","","lauren",2003," non-financial","",,,0,0,4,0
"jackson","thomas","stephens",2003,"investment banking","united states naval academy",,,0,1,1,0
"anne","catherine","earhart",2003,"non-financial","",,,0,0,4,0
"charles","c","butt",2003,"non-financial","university of pennsylvania",,,0,0,3,0
"stephen","a","wynn",2003,"non-financial","university of pennsylvania",215062,,0,0,3,0
"donald","j","trump",2003," non-financial","university of pennsylvania",,,0,0,3,0
"nan","tucker","mcevoy",2003,"non-financial","",,,0,0,4,0
"marion","macmillan","pictet",2003," non-financial","vassar college",,,0,0,1,0
"elizabeth","ann","reid",2003,"non-financial","university of kansas",198419,,0,0,1,0
"jess","stonestreet","jackson",2003,"non-financial","university of california berkeley",,,0,0,2,0
"timothy","","boyle",2003,"non-financial","university of oregon",,,0,0,1,0
"william","clay","ford",2003," non-financial","yale university",186131,,0,0,3,0
"marion","o","sandler",2003,"commerical banking","wellesley college",,,0,1,1,0
"sheldon","henry","solow",2003," non-financial","",193900,,0,0,4,0
"paul","barry","fireman",2003,"non-financial","",,,0,0,4,0
"andrew","","mckelvey",2003,"non-financial","westminster college",,,0,0,1,0
"margaret","anne","cargill",2003," non-financial","university of minnesota",166939,,0,0,2,0
"richard","s","strong",2003,"asset management","",,,0,1,4,0
"richard","","kinder",2003," non-financial","university of missouri",,,0,0,1,0
"george","l","lindemann",2003,"other financial","university of pennsylvania",,,0,1,3,0
"tom","","werner",2003,"non-financial","harvard university",,,0,0,3,0
"marc","david","rich",2003," non-financial","",,,0,0,4,0
"david","","geffen",2003," non-financial","",,,0,0,4,0
"edgar","m","bronfman",2003,"non-financial","mcgill university",,,0,0,1,0
"lawrence","joseph","ellison",2003,"non-financial","",,,1,0,4,0
